Starting Part 2 suite 'combined' in /home/jacopominniti_sakana_ai/id-features
Results: results/part2-combined-169194
Controls: D=32 m=256 modules=8 k={2,4,8} N={4096,16384} repeats=5 ranks<=64
[187/210] part2-combined complete: repeat=5/5; shared_amplitudes; k=2; N=4096
[188/210] part2-combined complete: repeat=5/5; shared_amplitudes; k=2; N=16384
[189/210] part2-combined complete: repeat=5/5; shared_amplitudes; k=4; N=4096
[190/210] part2-combined complete: repeat=5/5; shared_amplitudes; k=4; N=16384
[191/210] part2-combined complete: repeat=5/5; shared_amplitudes; k=8; N=4096
[192/210] part2-combined complete: repeat=5/5; shared_amplitudes; k=8; N=16384
[193/210] part2-combined complete: repeat=5/5; coherent_geometry; k=2; N=4096
[194/210] part2-combined complete: repeat=5/5; coherent_geometry; k=2; N=16384
[195/210] part2-combined complete: repeat=5/5; coherent_geometry; k=4; N=4096
[196/210] part2-combined complete: repeat=5/5; coherent_geometry; k=4; N=16384
[197/210] part2-combined complete: repeat=5/5; coherent_geometry; k=8; N=4096
[198/210] part2-combined complete: repeat=5/5; coherent_geometry; k=8; N=16384
[199/210] part2-combined complete: repeat=5/5; llm_like; k=2; N=4096
[200/210] part2-combined complete: repeat=5/5; llm_like; k=2; N=16384
[201/210] part2-combined complete: repeat=5/5; llm_like; k=4; N=4096
[202/210] part2-combined complete: repeat=5/5; llm_like; k=4; N=16384
[203/210] part2-combined complete: repeat=5/5; llm_like; k=8; N=4096
[204/210] part2-combined complete: repeat=5/5; llm_like; k=8; N=16384
[205/210] part2-combined complete: repeat=5/5; llm_like_exact_shared; k=2; N=4096
[206/210] part2-combined complete: repeat=5/5; llm_like_exact_shared; k=2; N=16384
[207/210] part2-combined complete: repeat=5/5; llm_like_exact_shared; k=4; N=4096
[208/210] part2-combined complete: repeat=5/5; llm_like_exact_shared; k=4; N=16384
[209/210] part2-combined complete: repeat=5/5; llm_like_exact_shared; k=8; N=4096
[210/210] part2-combined complete: repeat=5/5; llm_like_exact_shared; k=8; N=16384
Wrote results to results/part2-combined-169194
Wrote results/part2-combined-169194/overview.png
Read results/part2-combined-169194/interpretation.md after inspecting gride_profiles.csv.
